2015-06-30-22 26 32.035	-0.036865234 0.7901764 7.1067505
2015-06-30-22 26 32.043	-0.1713562 0.83540344 7.3626404
2015-06-30-22 26 32.046	-0.11541748 0.91038513 7.661377
2015-06-30-22 26 32.049	-0.0892334 1.0424957 7.8053894
2015-06-30-22 26 32.054	-0.17373657 1.102005 7.80896
2015-06-30-22 26 32.059	-0.17730713 1.1008148 7.7101746
2015-06-30-22 26 32.064	-0.19754028 1.1424713 7.6340027
2015-06-30-22 26 32.069	-0.12017822 1.121048 7.5352173
2015-06-30-22 26 32.074	-0.003540039 1.2234039 7.5542603
2015-06-30-22 26 32.079	0.046447754 1.2960052 7.534027
2015-06-30-22 26 32.085	-0.41415405 1.7804108 8.069611
2015-06-30-22 26 32.089	-0.3772583 2.0874786 9.016998
2015-06-30-22 26 32.094	0.0059814453 1.7423248 9.371674
2015-06-30-22 26 32.099	0.15475464 1.3400421 9.4097595
2015-06-30-22 26 32.104	0.19403076 1.115097 9.275269
2015-06-30-22 26 32.109	0.125 0.87586975 9.061035
2015-06-30-22 26 32.114	0.1583252 0.7961273 8.853943
2015-06-30-22 26 32.120	0.08572388 0.8532562 8.799194
2015-06-30-22 26 32.124	-0.08685303 1.0008392 8.725403
2015-06-30-22 26 32.129	-0.4022522 1.1365204 9.006287
2015-06-30-22 26 32.134	-0.66290283 1.3412323 9.166962
2015-06-30-22 26 32.140	-0.7819214 1.4864349 9.362152
2015-06-30-22 26 32.144	-0.6652832 1.5388031 9.6918335
2015-06-30-22 26 32.149	-0.45819092 1.5399933 10.022705
2015-06-30-22 26 32.154	-0.105895996 1.5245209 10.291687
2015-06-30-22 26 32.160	0.25234985 1.4412079 10.515442
2015-06-30-22 26 32.164	0.45825195 1.3067169 10.386902
2015-06-30-22 26 32.169	0.49276733 1.2436371 10.241699
2015-06-30-22 26 32.176	0.39517212 1.19841 10.05127
2015-06-30-22 26 32.180	0.25473022 1.1281891 9.9548645
2015-06-30-22 26 32.185	0.22021484 1.1508026 9.689453
