2015-07-07-18 33 25.801	-2.3815308 -1.5033112 16.692505
2015-07-07-18 33 25.806	-2.6148071 -1.9008331 15.855804
2015-07-07-18 33 25.811	-2.601715 -2.1364899 15.015533
2015-07-07-18 33 25.816	-2.517212 -2.169815 14.165741
2015-07-07-18 33 25.821	-2.223236 -2.0650787 13.393311
2015-07-07-18 33 25.826	-1.7876282 -1.7425385 12.850586
2015-07-07-18 33 25.831	-1.3258362 -1.4521332 12.464966
2015-07-07-18 33 25.837	-0.86642456 -0.98439026 12.351898
2015-07-07-18 33 25.841	-0.42010498 -0.5773468 12.375702
2015-07-07-18 33 25.846	-0.06542969 -0.21195984 12.343567
2015-07-07-18 33 25.851	0.388031 -1.0681152E-4 12.262634
2015-07-07-18 33 25.857	0.8557739 0.13438416 12.17337
2015-07-07-18 33 25.861	1.2259216 0.17485046 11.950806
2015-07-07-18 33 25.866	1.459198 0.10105896 11.762756
2015-07-07-18 33 25.874	1.4603882 0.0070343018 11.253357
2015-07-07-18 33 25.878	1.4603882 0.0070343018 11.253357
2015-07-07-18 33 25.881	1.2711487 -0.10722351 10.970093
2015-07-07-18 33 25.886	0.9640808 -0.1572113 10.683258
2015-07-07-18 33 25.892	0.6284485 -0.24528503 10.370239
2015-07-07-18 33 25.897	0.20355225 -0.28456116 10.058411
2015-07-07-18 33 25.902	-0.25228882 -0.31669617 9.703735
2015-07-07-18 33 25.907	-0.7069397 -0.33573914 9.306213
2015-07-07-18 33 25.912	-1.0366211 -0.3381195 8.784912
2015-07-07-18 33 25.918	-1.2675171 -0.39286804 8.185059
2015-07-07-18 33 25.922	-1.4674683 -0.4535675 7.6589966
2015-07-07-18 33 25.927	-1.5257874 -0.3952484 7.0103455
2015-07-07-18 33 25.932	-1.5888672 -0.33573914 6.502136
2015-07-07-18 33 25.937	-1.5519714 -0.23695374 6.027252
2015-07-07-18 33 25.942	-1.6233826 -0.1738739 5.647583
2015-07-07-18 33 25.947	-1.5222168 -0.056045532 5.1131897
2015-07-07-18 33 25.952	-1.4460449 0.09272766 4.6692505
2015-07-07-18 33 25.957	-1.3912964 0.19151306 4.237213
2015-07-07-18 33 25.962	-1.2365723 0.3200531 3.8849182
2015-07-07-18 33 25.967	-1.0913696 0.4426422 3.652832
2015-07-07-18 33 25.972	-0.94021606 0.5664215 3.5135803
2015-07-07-18 33 25.978	-0.78549194 0.74494934 3.3398132
2015-07-07-18 33 25.982	-0.63671875 0.838974 3.185089
2015-07-07-18 33 25.987	-0.5022278 0.99012756 3.1160583
2015-07-07-18 33 25.992	-0.38916016 1.1293793 3.0505981
2015-07-07-18 33 25.998	-0.28323364 1.1960297 3.119629
2015-07-07-18 33 26.002	-0.27490234 1.2388763 3.2719727
2015-07-07-18 33 26.007	-0.25109863 1.3293304 3.5123901
2015-07-07-18 33 26.013	-0.15707397 1.3269501 3.76828
2015-07-07-18 33 26.018	-0.116607666 1.3686066 4.1622314
2015-07-07-18 33 26.024	0.14642334 1.4781036 4.9382324
2015-07-07-18 33 26.028	0.14642334 1.4781036 4.9382324
2015-07-07-18 33 26.033	0.27972412 1.5149994 5.417877
2015-07-07-18 33 26.038	0.4368286 1.5471344 5.9403687
2015-07-07-18 33 26.043	0.59036255 1.5578461 6.239105
2015-07-07-18 33 26.048	0.6129761 1.5840302 6.6568604
2015-07-07-18 33 26.053	0.5951233 1.5745087 6.935364
2015-07-07-18 33 26.058	0.5844116 1.6066437 7.180542
2015-07-07-18 33 26.063	0.5344238 1.6363983 7.494751
2015-07-07-18 33 26.068	0.5046692 1.5899811 7.6399536
2015-07-07-18 33 26.073	0.5046692 1.4864349 7.7684937
2015-07-07-18 33 26.078	0.3796997 1.448349 7.9208374
2015-07-07-18 33 26.083	0.30233765 1.3388519 8.108887
2015-07-07-18 33 26.088	0.1333313 1.1805573 8.244568
2015-07-07-18 33 26.093	-0.00592041 1.1710358 8.367157
2015-07-07-18 33 26.098	-0.17254639 1.050827 8.395721
2015-07-07-18 33 26.103	-0.35821533 1.115097 8.469513
2015-07-07-18 33 26.108	-0.4772339 1.0972443 8.4219055
2015-07-07-18 33 26.113	-0.53674316 1.1567535 8.538544
2015-07-07-18 33 26.119	-0.67837524 1.1638947 8.507599
2015-07-07-18 33 26.123	-0.70098877 1.1710358 8.693268
2015-07-07-18 33 26.128	-0.7236023 1.204361 8.748016
2015-07-07-18 33 26.133	-0.69503784 1.1936493 8.744446
2015-07-07-18 33 26.139	-0.58078 1.217453 8.627808
2015-07-07-18 33 26.143	-0.39749146 1.249588 8.586151
2015-07-07-18 33 26.148	-0.24038696 1.3043365 8.590912
2015-07-07-18 33 26.154	0.21426392 1.4733429 8.455231
2015-07-07-18 33 26.159	0.21426392 1.4733429 8.455231
2015-07-07-18 33 26.163	0.39279175 1.563797 8.617096
2015-07-07-18 33 26.169	0.59869385 1.531662 8.814667
2015-07-07-18 33 26.176	1.0581055 1.4554901 9.170532
2015-07-07-18 33 26.180	1.2033081 1.3340912 9.445465
2015-07-07-18 33 26.184	1.2033081 1.3340912 9.445465
2015-07-07-18 33 26.189	1.4092102 0.9139557 10.151245
2015-07-07-18 33 26.194	1.3032837 0.71162415 10.636841
2015-07-07-18 33 26.199	1.1080933 0.44740295 11.139099
2015-07-07-18 33 26.204	0.7272339 0.1391449 11.715149
2015-07-07-18 33 26.209	0.27734375 -0.1322174 12.282867
2015-07-07-18 33 26.214	-0.2546692 -0.4035797 12.873199
2015-07-07-18 33 26.220	-0.8378601 -0.6678009 13.292145
2015-07-07-18 33 26.224	-1.4031982 -0.99272156 13.77417
2015-07-07-18 33 26.229	-1.9280701 -1.1783905 14.057434
2015-07-07-18 33 26.236	-2.1696777 -1.2783661 14.056244
2015-07-07-18 33 26.240	-2.2434692 -1.399765 13.940796
2015-07-07-18 33 26.244	-2.0542297 -1.437851 13.696808
2015-07-07-18 33 26.249	-1.7269287 -1.5568695 13.19812
2015-07-07-18 33 26.254	-1.311554 -1.5818634 12.991028
2015-07-07-18 33 26.260	-0.80096436 -1.5866241 12.967224
2015-07-07-18 33 26.264	-0.3855896 -1.4247589 13.156464
2015-07-07-18 33 26.269	0.022644043 -1.3200226 13.5278015
2015-07-07-18 33 26.275	0.33447266 -1.2474213 14.020538
2015-07-07-18 33 26.280	0.4546814 -1.1081696 14.61087
2015-07-07-18 33 26.284	0.4868164 -1.040329 15.277374
2015-07-07-18 33 26.289	0.2892456 -0.9986725 15.845093
2015-07-07-18 33 26.295	-0.013061523 -1.0427094 16.479462
2015-07-07-18 33 26.300	-0.42010498 -1.2117157 16.936493
2015-07-07-18 33 26.304	-0.9556885 -1.437851 17.245941
2015-07-07-18 33 26.309	-1.3544006 -1.8234711 17.357819
2015-07-07-18 33 26.315	-1.7852478 -2.2412262 17.04837
2015-07-07-18 33 26.320	-2.1042175 -2.6804047 16.738922
2015-07-07-18 33 26.326	-2.3279724 -2.9815216 16.227142
2015-07-07-18 33 26.330	-2.518402 -3.330246 15.720123
2015-07-07-18 33 26.335	-2.588623 -3.4147491 15.05838
2015-07-07-18 33 26.342	-2.6350403 -3.464737 14.504944
2015-07-07-18 33 26.348	-2.421997 -3.3861847 14.02887
2015-07-07-18 33 26.350	-1.9911499 -3.1326752 13.577789
2015-07-07-18 33 26.355	-1.3674927 -2.823227 13.237396
2015-07-07-18 33 26.360	-0.62838745 -2.4590302 13.094574
2015-07-07-18 33 26.365	0.14880371 -2.105545 12.786316
2015-07-07-18 33 26.370	0.94384766 -1.7901459 12.647064
2015-07-07-18 33 26.376	1.8329163 -1.4104767 12.520905
2015-07-07-18 33 26.381	2.5148926 -1.1533966 12.215027
2015-07-07-18 33 26.385	3.1254578 -0.8570404 11.9817505
2015-07-07-18 33 26.390	3.6324768 -0.65470886 11.697296
2015-07-07-18 33 26.395	3.915741 -0.40715027 11.329529
2015-07-07-18 33 26.401	3.9585876 -0.26075745 11.120056
2015-07-07-18 33 26.405	3.9919128 -0.08103943 10.88678
2015-07-07-18 33 26.410	3.8229065 0.07130432 10.773712
2015-07-07-18 33 26.416	3.512268 0.12962341 10.667786
2015-07-07-18 33 26.421	3.1635437 0.20936584 10.591614
2015-07-07-18 33 26.425	2.8267212 0.28196716 10.347626
2015-07-07-18 33 26.430	2.4708557 0.33314514 10.160767
2015-07-07-18 33 26.436	2.0376282 0.2783966 9.679932
2015-07-07-18 33 26.441	1.6460571 0.33909607 9.132446
2015-07-07-18 33 26.446	1.3044739 0.32362366 8.51355
2015-07-07-18 33 26.452	0.99264526 0.35456848 8.037476
2015-07-07-18 33 26.456	0.77127075 0.40574646 7.3757324
2015-07-07-18 33 26.461	0.6355896 0.49024963 6.7556458
2015-07-07-18 33 26.466	0.50109863 0.5854645 6.180786
2015-07-07-18 33 26.471	0.40350342 0.6152191 5.6559143
2015-07-07-18 33 26.478	0.4058838 0.72828674 5.1119995
2015-07-07-18 33 26.482	0.34399414 0.7996979 4.8822937
2015-07-07-18 33 26.486	0.26306152 0.86753845 4.5157166
2015-07-07-18 33 26.491	0.21902466 0.99250793 4.34552
