2015-07-01-19 44 50.178	-0.05114746 2.2850494 7.9732056
2015-07-01-19 44 50.183	0.29400635 2.282669 7.6006775
2015-07-01-19 44 50.188	0.5844116 2.2136383 7.2531433
2015-07-01-19 44 50.194	0.7367554 2.1957855 6.8710938
2015-07-01-19 44 50.198	0.87124634 2.1553192 6.424774
2015-07-01-19 44 50.203	1.0033569 2.1184235 5.8939514
2015-07-01-19 44 50.208	0.9747925 2.1208038 5.6190186
2015-07-01-19 44 50.214	1.0664368 2.1434174 5.2845764
2015-07-01-19 44 50.218	1.0093079 2.2195892 5.0477295
2015-07-01-19 44 50.223	0.9319458 2.2219696 4.910858
2015-07-01-19 44 50.229	0.8664856 2.2612457 4.710907
2015-07-01-19 44 50.234	0.6998596 2.3897858 4.5419006
2015-07-01-19 44 50.238	0.54989624 2.3112335 4.4121704
2015-07-01-19 44 50.243	0.3309021 2.4004974 4.403839
2015-07-01-19 44 50.249	0.20950317 2.4064484 4.4074097
2015-07-01-19 44 50.254	0.15951538 2.4326324 4.2788696
2015-07-01-19 44 50.259	0.0107421875 2.4254913 4.314575
2015-07-01-19 44 50.264	-0.022583008 2.494522 4.299103
2015-07-01-19 44 50.269	-0.0642395 2.4885712 4.3407593
2015-07-01-19 44 50.274	-0.06185913 2.493332 4.5609436
2015-07-01-19 44 50.280	0.03930664 2.4314423 4.756134
2015-07-01-19 44 50.284	0.25234985 2.3647919 4.966797
2015-07-01-19 44 50.289	0.57489014 2.275528 5.289337
2015-07-01-19 44 50.294	0.87838745 2.231491 5.6642456
2015-07-01-19 44 50.299	1.2770996 2.0970001 5.9974976
2015-07-01-19 44 50.304	1.6543884 1.9898834 6.322418
2015-07-01-19 44 50.309	1.9412231 1.9137115 6.738983
2015-07-01-19 44 50.316	2.2209167 1.7911224 7.0424805
2015-07-01-19 44 50.319	2.3589783 1.7209015 7.345978
2015-07-01-19 44 50.325	2.3911133 1.5923615 7.598297
2015-07-01-19 44 50.330	2.2435303 1.5518951 7.731598
2015-07-01-19 44 50.335	1.9935913 1.5114288 7.8434753
2015-07-01-19 44 50.339	1.6401062 1.4900055 7.789917
2015-07-01-19 44 50.344	1.4104004 1.5292816 7.8756104
2015-07-01-19 44 50.349	1.1652222 1.4971466 8.170776
2015-07-01-19 44 50.355	1.0592957 1.5197601 8.748016
2015-07-01-19 44 50.359	0.91290283 1.3888397 9.5121155
2015-07-01-19 44 50.365	0.88671875 1.1674652 10.515442
2015-07-01-19 44 50.369	0.96765137 1.0139313 11.709198
2015-07-01-19 44 50.375	1.0819092 0.84373474 13.031494
2015-07-01-19 44 50.379	1.3163757 0.6152191 14.551361
2015-07-01-19 44 50.384	1.4508667 0.38313293 15.895081
2015-07-01-19 44 50.390	1.5413208 0.07725525 17.223328
2015-07-01-19 44 50.395	1.6365356 -0.1822052 18.087402
2015-07-01-19 44 50.400	1.6401062 -0.2821808 18.572998
2015-07-01-19 44 50.405	1.6270142 -0.3643036 18.369476
2015-07-01-19 44 50.410	1.6746216 -0.2738495 17.473267
2015-07-01-19 44 50.415	1.9412231 -0.04295349 15.89032
2015-07-01-19 44 50.420	2.0638123 0.1391449 14.1050415
2015-07-01-19 44 50.425	1.9614563 0.053451538 12.238831
2015-07-01-19 44 50.432	1.9638367 -0.15840149 10.638031
2015-07-01-19 44 50.436	2.017395 -0.14292908 9.518066
2015-07-01-19 44 50.440	2.2578125 0.15104675 8.882507
2015-07-01-19 44 50.445	2.4077759 0.5342865 8.682556
2015-07-01-19 44 50.450	2.229248 0.8568268 8.980103
2015-07-01-19 44 50.455	1.5567932 0.9365692 9.444275
2015-07-01-19 44 50.460	0.7177124 0.9234772 9.869171
2015-07-01-19 44 50.465	-0.07019043 0.86039734 10.186951
2015-07-01-19 44 50.470	-0.62838745 0.8865814 10.643982
2015-07-01-19 44 50.476	-1.0021057 1.0603485 11.095062
2015-07-01-19 44 50.480	-1.0889893 1.2722015 11.725861
2015-07-01-19 44 50.485	-1.1675415 1.4757233 12.454254
2015-07-01-19 44 50.491	-1.1020813 1.5721283 13.395691
